features,model,r2_score,mae
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9946450568754817,1665.1866357522981
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.994575952439152,1642.9998597588217
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9945199706533095,1557.7290890954353
"('work_year', 'employment_type', 'salary', 'salary_currency', 'employee_residence', 'remote_ratio')",CatBoost,0.9945040740084656,1652.9291159809732
"('experience_level', 'job_title', 'salary', 'salary_currency', 'company_size')",ExtraTrees,0.994478798708661,975.0156490384613
"('work_year', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9944440085537856,1667.3808981400834
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9944243934141653,990.2494711538461
"('work_year', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9944163204016199,1520.1750541984507
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9944049280296771,1800.755259283805
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",CatBoost,0.9943772591964832,1620.2927317680203
"('work_year', 'experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",CatBoost,0.9943765680877091,1419.4882613247266
"('work_year', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9943641899040229,1629.0713035080246
"('experience_level', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9943624388500301,1803.0650202859995
"('work_year', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9943518725263893,1671.5973023609745
"('work_year', 'employment_type', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9943490383760218,1670.131041882013
"('employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9943427832608912,1754.4344965239038
"('work_year', 'employment_type', 'salary', 'salary_currency')",GradientBoosting,0.9943387909726916,1672.244300625835
"('experience_level', 'employment_type', 'salary', 'salary_currency')",GradientBoosting,0.9943307491786821,1835.5866510075662
"('work_year', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9943303899379519,948.2278365384617
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9943276552085066,958.2094711538465
"('work_year', 'experience_level', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9943256559725326,1706.7492754776126
"('work_year', 'salary', 'salary_currency')",GradientBoosting,0.9943226967110904,1685.7409108958718
"('work_year', 'job_title', 'salary', 'salary_currency')",GradientBoosting,0.9943096821672426,1688.1304013238855
"('experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9942991492984425,1826.5007771357575
"('work_year', 'experience_level', 'employment_type', 'salary', 'salary_currency')",GradientBoosting,0.9942928476830017,1706.2801796108683
"('work_year', 'experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9942866748985295,1708.07621723334
"('work_year', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9942516947437097,934.1130288461541
"('experience_level', 'salary', 'salary_currency', 'company_size')",ExtraTrees,0.9942484660084353,916.577716346154
"('work_year', 'experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9942481929859849,1488.9838294366843
"('experience_level', 'employment_type', 'salary', 'salary_currency')",ExtraTrees,0.9942437889505723,926.1396794871806
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.9942410389234214,1838.5960517703954
"('employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9942383020732495,913.5988381410259
"('employment_type', 'job_title', 'salary', 'salary_currency')",CatBoost,0.9942362100274519,1585.0732389364916
"('work_year', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9942197514063937,1350.3859008774552
"('experience_level', 'salary', 'salary_currency')",GradientBoosting,0.994202239744747,1855.7488790033308
"('salary', 'salary_currency', 'employee_residence', 'company_size')",CatBoost,0.9942004312594545,1747.5478911498494
"('work_year', 'experience_level', 'salary', 'salary_currency')",GradientBoosting,0.9941991691966655,1711.437820923916
"('employment_type', 'salary', 'salary_currency', 'remote_ratio')",GradientBoosting,0.994191906109416,1803.0722791978142
"('salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.994186326245506,1796.4392223510954
"('experience_level', 'job_title', 'salary', 'salary_currency')",GradientBoosting,0.994170778204093,1834.8450898141707
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency')",GradientBoosting,0.9941594654294348,1695.5883411091547
"('work_year', 'job_title', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9941537308194275,1694.8669510702605
"('work_year', 'experience_level', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9941444772524576,1570.7139315920515
"('salary', 'salary_currency', 'remote_ratio', 'company_size')",ExtraTrees,0.9941433278900516,929.6372115384614
"('work_year', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9941176907942524,1720.3997562222246
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.994117222314068,1716.4568971828335
"('work_year', 'employment_type', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9941163407214089,1722.9956028620968
"('experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio')",CatBoost,0.9941067429178269,1605.4765010709962
"('work_year', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9941012394196218,1734.4240359780738
"('work_year', 'employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9940997744731307,1701.0472843020018
"('employment_type', 'salary', 'salary_currency')",GradientBoosting,0.994096588115847,1850.714400080555
"('experience_level', 'salary', 'salary_currency')",ExtraTrees,0.994095039679466,951.0446314102571
"('work_year', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9940945604167712,1722.9378315877705
"('experience_level', 'job_title', 'salary', 'salary_currency', 'company_location', 'company_size')",CatBoost,0.9940858509530429,1708.501802233924
"('salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9940813688777957,1804.1878197080675
"('employment_type', 'salary', 'salary_currency', 'company_size')",ExtraTrees,0.99408056380449,889.4079543269235
"('employment_type', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.99407593807099,1656.5254088895442
"('work_year', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9940704268365484,1388.9524697243933
"('work_year', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.994067517271922,1719.167769732261
"('experience_level', 'employment_type', 'salary', 'salary_currency')",CatBoost,0.9940665777413754,1616.2250860455056
"('experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",CatBoost,0.9940650263792822,1626.1544943483952
"('salary', 'salary_currency', 'company_size')",ExtraTrees,0.9940641617749588,895.3188125000001
"('work_year', 'experience_level', 'employment_type', 'salary', 'salary_currency', 'remote_ratio', 'company_location', 'company_size')",CatBoost,0.9940591362189733,1576.4577895320374
"('experience_level', 'employment_type', 'job_title', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9940521100038726,1809.6973204457054
"('employment_type', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9940464058030475,1820.191998757247
"('experience_level', 'job_title', 'salary', 'salary_currency', 'remote_ratio', 'company_size')",GradientBoosting,0.9940451696613587,1821.4212004969786
"('job_title', 'salary', 'salary_currency', 'employee_residence', 'company_size')",CatBoost,0.9940424070910304,1756.8770129414017
"('experience_level', 'salary', 'salary_currency', 'company_size')",GradientBoosting,0.9940404502277794,1832.1744156998507
